HOSPITAL_ID,PAYOR1,DIAGNOSIS_1,PATS,PWC,TD,TC,XC,XD
103,2,J440,8,8,32,250141,31267.625,4
103,2,J441,40,40,180,1492234,37305.85,4.5
103,3,J441,4,4,20,179306,44826.5,5
103,4,J440,2,2,4,37366,18683,2
103,4,J441,19,19,70,640422,33706.4211,3.6799999999999997
103,5,J441,3,3,15,115503,38501,5
111,1,J440,1,1,16,94789,94789,16
111,1,J441,1,1,8,51256,51256,8
111,2,J441,1,1,2,34932,34932,2
111,3,J441,1,1,3,41010,41010,3
111,4,J440,1,1,2,15983,15983,2
111,4,J441,1,1,6,43396,43396,6
137,1,J440,47,47,161,1958473,41669.6383,3.4299999999999997
137,1,J441,162,162,528,5320057,32839.85799999999,3.2600000000000002
137,2,J440,2,2,7,52418,26209,3.5
137,2,J441,11,11,36,347853,31623,3.2700000000000005
137,3,J441,1,1,4,60557,60557,4
137,4,J440,1,1,1,12540,12540,1
137,4,J441,23,23,75,996749,43336.913,3.2600000000000002
137,4,J449,6,6,11,32715,5452.5,1.83
137,5,J440,2,2,6,48389,24194.5,3
137,5,J441,4,4,20,182164,45541,5
137,6,J440,3,3,11,127312,42437.3333,3.6700000000000004
137,6,J441,11,11,36,365796,33254.181800000006,3.2700000000000005
138,1,J440,12,12,43,440157,36679.75,3.5799999999999996
138,1,J441,192,192,550,5895320,30704.7917,2.8600000000000003
138,2,J440,2,2,8,88290,44145,4
138,2,J441,29,29,82,966325,33321.551699999996,2.83
138,4,J440,1,1,1,46587,46587,1
138,4,J441,23,23,55,560478,24368.6087,2.3899999999999997
138,4,J449,3,3,6,14332,4777.3333,2
138,5,J440,2,2,3,59214,29607,1.5
138,5,J441,2,2,4,46878,23439,2
138,6,J440,4,4,9,118866,29716.5,2.25
138,6,J441,21,21,47,581406,27686,2.2399999999999998
139,1,J440,49,49,204,2034966,41529.9184,4.16
139,1,J441,136,136,560,5417745,39836.3603,4.12
139,1,J449,1,1,3,23946,23946,3
139,2,J440,1,1,3,16489,16489,3
139,2,J441,10,10,37,319105,31910.5,3.7
139,3,J441,2,2,4,48143,24071.5,2
139,4,J440,7,7,40,445712,63673.1429,5.71
139,4,J441,17,17,69,573273,33721.9412,4.0600000000000005
139,4,J449,3,3,9,100659,33553,3
139,6,J440,3,3,23,231741,77247,7.67
139,6,J441,7,7,34,259215,37030.7143,4.86
143,1,J441,20,20,98,816312,40815.6,4.9
143,4,J441,8,8,47,535871,66983.875,5.88
151,1,J441,2,2,15,88126,44063,7.5
155,1,J440,1,1,13,103378,103378,13
155,1,J441,37,37,143,1225040,33109.1892,3.8600000000000003
155,2,J441,1,1,2,14499,14499,2
155,4,J441,6,6,15,142406,23734.333300000002,2.5
155,5,J441,2,2,5,49167,24583.5,2.5
158,1,J440,2,2,7,51842,25921,3.5
158,1,J441,9,9,25,212638,23626.4444,2.7800000000000002
158,4,J441,2,2,7,50675,25337.5,3.5
158,5,J440,1,1,3,28596,28596,3
162,1,J440,4,4,27,285840,71460,6.75
162,1,J441,159,159,740,5685019,35754.8365,4.65
162,2,J441,23,23,85,621235,27010.2174,3.7
162,3,J441,2,2,14,81382,40691,7
162,4,J441,18,18,62,574831,31935.0556,3.44
162,4,J449,1,1,2,44186,44186,2
162,5,J441,3,3,9,66532,22177.333300000002,3
170,1,J441,30,30,137,1029759,34325.3,4.57
